Ingredients,Nameofproduct,protein,sodium,fiber,sugars,Servingsize,calories,Saturatedfat,category
"Organic Peanut Butter (Organic Peanuts), Organic Raw Coconut, Organic Raw Pumpkin Seeds, Organic Raw Blue Agave, Organic Raw Coconut Oil & Pink Himalayan Salt., Organic Chocolate Coating: Organic Chocolate Liquor, Organic Cacao Butter, Organic Cane Sugar, Organic Vanilla","Organic Peanut Butter & Coconut Bar, 1.6 oz",7,5,3,10,45,260,8,organic
"Ingredients: Organic Dark Chocolate (Organic Cacao Beans, Organic Evaporated Cane Sugar, Organic Cocoa Butter, Sunflower Lecithin), Organic Tapioca Syrup, Organic Coconut, Organic Sugar (Organic Cane Sugar, Organic Tapioca Starch), Water, Salt, Organic Soy Lecithin, and Organic Vanilla Extract","Ocho Candy Organic Coconut Candy Bar, 1.5 oz",2,50,3,14,42,210,9,organic
"Ingredients: Organic Dark Chocolate (Organic Cacao Beans, Organic Evaporated Cane Sugar, Organic Cocoa Butter, Sunflower Lecithin), Organic Tapioca Syrup, Organic Coconut, Organic Sugar (Organic Cane Sugar, Organic Tapioca Starch), Water, Salt, Organic Soy Lecithin, and Organic Vanilla Extract","Ocho Candy Organic Coconut Candy Bar, 1.5 oz",2,50,3,14,42,210,9,organic
"Ingredients: Organic Cocoa Mass, Organic Cane Sugar, Organic Coconut Oil, Organic Orange Pieces With Peel, Organic Cocoa Butter, Organic Cocoa Powder (Processed With Alkali), Organic Soy Lecithin (Emulsifier), Natural Flavor","Organic Orange Chocolate Truffle, 7 oz",1,5,2,9,27,170,11,organic
"Ingredients: Organic Cocoa Mass, Organic Expeller Pressed Coconut Oil, Organic Cane Sugar, Organic Cocoa Butter, Organic Cocoa Powder (Processed With Alkali), Soy Lecithin (Emulsifier), Natural Flavor","Whole Foods Market™ Organic Cappuccino Truffles, 8.8 oz",1,0,2,8,27,180,12,organic
"Ingredients: Organic Cocoa Mass, Organic Expeller Pressed Coconut Oil, Organic Cane Sugar, Organic Cocoa Butter, Organic Cocoa Powder (Processed With Alkali), Soy Lecithin (Emulsifier), Natural Flavor","Whole Foods Market™ Organic Cappuccino Truffles, 8.8 oz",1,0,2,8,27,180,12,organic
"Ingredients: Organic Cocoa Mass, Organic Expeller Pressed Coconut Oil, Organic Cane Sugar, Organic Cocoa Butter, Organic Cocoa Powder (Processed With Alkali), Soy Lecithin (Emulsifier), Natural Flavor","Whole Foods Market™ Organic Cappuccino Truffles, 8.8 oz",1,0,2,8,27,180,12,organic
"Ingredients: Organic Cane Sugar, Organic Cacao Beans, Organic Almonds, Salt","Organic Dark Chocolate Salted Almond Discs, 2.7 oz",3,50,2,20,27,180,12,organic
"Organic Cacao Beans, Organic Cane Sugar","Cacao Puro Chocolate Mexicano Disc, 2.7 oz",4,0,4,10,27,180,12,organic
"Ingredients: Organic Cacao Beans, Organic Cane Sugar, Organic Cinnamon","Stone Ground Cinnamon Chocolate, 2.7 oz",3,0,3,19,27,180,12,organic
"Ingredients: Cacao Beans*○, Cane Sugar*, Whole Milk*, Toffee* (Cane Sugar*, Rice Syrup*, Butter*, Coconut Oil*, Salt, Soy Lecithin*, Sodium Bicarbonate), Cocoa Butter*○, Non-fat Milk*, Sea Salt, Soy Lecithin*, Vanilla* *Organic ○fair Trade Certified Tm by Fair Trade USA","Organic Milk Chocolate Toffee And Sea Salt, 2.5 oz",3,105,1,12,35,190,7,organic
"Organic Sugar, Organic Rice Syrup, Non-GMO Citric Acid, Natural Flavors, Colored With: Red Cabbage, Purple Carrots, Organic Black Carrot, Organic Blackcurrant, Organic Apple","Organic Pomegranate & Nectarine Hard Candy, 2 oz",0,0,0,14,16,60,0,organic
"Ingredients: Organic Cacao Beans, Organic Cane Sugar, Organic Chili Powder","Guajillo Chili Dark Chocolate Mexicano Disc, 2.7 oz",3,0,3,21,16,60,0,organic
"Organic Milk Chocolate (Organic Dried Cane Syrup, Organic Cocoa Butter, Organic Whole Milk Powder, Organic Chocolate Liquor, Organic Soy Lecithin (Emulsifier), Organic Vanilla), Organic Tapioca, Organic Sugar (Evaporated Cane Juice, Tapioca Starch), Organic Peanuts, Organic Sweetened Condensed Milk (Milk, Sugar), Organic Peanut Butter (Peanuts, Salt), Organic Milk Butter (Cream, Salt), Salt, and Organic Egg Whites","Organic Caramel & Peanut Candy Bar, 1.5 oz",3,90,20,21,16,60,0,organic
"Ingredients: *Dark Chocolate (*Sugar, *Chocolate Liquor, *Cocoa Butter, *Cocoa Powder (Processed With Alkali), and *Vanilla Powder)., *Organic","Organic Dark Chocolate Coins, 5.8 oz",2,0,2,12,28,160,6,organic
"Organic Raw Cashews, Organic Brown Rice Syrup, Organic Raw Cacao Butter, Organic Raw Blue Agave, Organic Peanut Butter (Organic Peanuts), Organic Raw Shredded Coconut, Organic Raw Vanilla Beans & Pink Himalayan Salt., Organic Chocolate Coating: Organic Chocolate Liquor, Organic Cacao Butter, Organic Cane Sugar, Organic Vanilla","Organic Caramel Nougat Candy Bar, 1.6 oz",5,60,3,10,45,270,9,organic
"Ingredients: *Milk Chocolate (*Sugar, *Milk Powder, *Cocoa Butter, *Chocolate Liquor, and *Vanilla Extract)., *Organic","Hanukkah Milk Chocolate Coins Gift Bag, 5.8 oz",2,20,1,14,28,170,7,organic
"Ingredients: Organic Raw Pecans, Organic Raw Almonds, Organic Brown Rice Syrup, Organic Raw Shredded Coconut, Organic Raw Blue Agave, Organic Raw Coconut Oil, Organic Raw Cacao Butter, Organic Raw Cacao Powder, Organic Peanut Butter (Organic Peanuts), Organic Raw Vanilla Beans & Pink Himalayan Salt., Organic Chocolate Coating: Organic Chocolate Liquor, Organic Cacao Butter, Organic Cane Sugar, Organic Vanilla","Organic German Chocolate Bar, 6 oz",3,15,4,10,45,220,7,organic
"Ingredients: Organic Raw Pecans, Organic Raw Almonds, Organic Brown Rice Syrup, Organic Raw Shredded Coconut, Organic Raw Blue Agave, Organic Raw Coconut Oil, Organic Raw Cacao Butter, Organic Raw Cacao Powder, Organic Peanut Butter (Organic Peanuts), Organic Raw Vanilla Beans & Pink Himalayan Salt., Organic Chocolate Coating: Organic Chocolate Liquor, Organic Cacao Butter, Organic Cane Sugar, Organic Vanilla","Organic German Chocolate Bar, 6 oz",3,15,4,10,45,220,7,organic
"Premium Organic Cacao Mass, Organic Raw Cane Sugar, Organic Almonds, Organic Cacao Butter, Organic Cacao Powder","Organic Roasted Almonds Chocolate Bark, 0.31 lb",2,0,1,8,28,155,8,organic
"Ingredients: Premium Organic Cacao Mass, Organic Raw Cane Sugar, Organic Cacao Nibs, Organic Cacao Butter, Organic Cocoa Powder","Organic Train 75 With Cocoa Nibsnight, 2.82 oz",1,24,2,7,28,150,8,organic
"Ingredients: Premium Organic Cacao Mass, Organic Raw Cane Sugar, Organic Cacao Butter, Organic Cacao Powder","Organic Dark Chocolate Bar 88% Cacao, 2.82 oz",2,1,4,5,28,140,8,organic
"Ingredients: *Milk and *+Dark Chocolate (*+Sugar, *Milk Powder, *+Cocoa Butter, *+Chocolate Liquor, *+Vanilla Extract, and *+Vanilla), *Roasted Almonds, and Sea Salt., *Organic., +Fair Trade Certified According To the Fair For Life Standard: 79% of the Total Ingredients",Lake Champlain Chocolates Organic Sea Salt & Almonds 38% Milk Chocolate Bar,2,115,1,14,32,180,7,organic
"Ingredients: *+Dark Chocolate (*+Chocolate Liquor, *+Sugar, *+Cocoa Butter, and *+Vanilla), *Heavy Cream, *+Sugar, *Rice Syrup, Water, Sea Salt, and *Vanilla Extract., *Organic +Fair Trade Certified According To the Fair For Life Standard: 70% Fo the Total Ingredients","Organic Salt Caramel Chocolate Bar, 3.25 oz",1,35,1,14,35,160,6,organic
"Ingredients: *Milk and *White Chocolate (*+Sugar, *Milk Powder, *+Cocoa Butter, *+Chocolate Liquor, *+Vanilla Extract, and Soybean Lecithin (Non-GMO)), *Salted Peanut Butter, and *Peanut Flour., * Organic +Fair Trade Certified","Organic 38% Cocoa Peanut Butter Chocolate, 3.25 oz",3,40,1,15,35,200,7,organic
"Premium Organic Cacao Mass, Organic Raw Cane Sugar, Organic Cashews, Organic Cacao Butter, Organic Cacao Powder","Organic Cashew Chocolate Bark, 0.27 lb",2,0,1,8,28,155,8,organic
"Organic Tapioca Syrup, Organic Cane Sugar, Organic Tapioca Syrup Solids, Organic Pear Juice Concentrate, Water, Pectin, Citric Acid, Sodium Citrate, Ascorbic Acid (Vitamin C), Organic Sunflower Oil, Natural Flavor, Organic Carnauba Wax, Organic Color (Organic Annatto, Organic Turmeric Extracts).","Organic Sunny Citrus Bunny Fruit Snacks, 5 Pk, 4 oz",0,55,11,8,28,155,8,organic
"Ingredients: Premium Organic Cacao Mass, Organic Raw Cane Sugar, Organic Hazelnuts, Organic Cacao Butter, Organic Cacao Powder, Himalayan Salt","Organic Dark Hazelnut Bar 56% Cacao, 2.82 oz",1,240,1,12,28,159,8,organic
"Premium Organic Cacao Mass, Organic Raw Cane Sugar, Organic Cacao Butter, Organic Cocoa Powder","Organic Dark Chocolate Bar 80% Cacao, 2.82 oz",2,1,4,6,28,144,8,organic
"Naturally Caffeine-free and Ethically Sourced, 100% Organically Grown Ingredients: Roasted Chicory Root (24%), Aniseed, Sweet Fennel Seed (20%), Licorice Root, Cardamom Pod (8%), Orange Peel, Ginger Root","Organic After Dinner, 1.27 oz",2,1,4,6,28,144,8,organic
"Ingredients: *+Dark Chocolate (*+Chocolate Liquor, *+Sugar, *+Cocoa Butter, and *+Vanilla), *Pumpkin Seeds, *Cinnamon, and *Cayenne Pepper., *Organic., +Fair Trade Certified According To the Fair For Life Standard: 93% of the Total Ingredients","Organic Spicy Aztec Dark Chocolate Bar 57%, 3 oz",2,0,2,13,32,170,7,organic
"Ingredients: Premium Organic Cacao Mass Organic Raw Cane Sugar, Organic Quinoa Organic Cacao Butter, Organic Cacao Powder","Organic Dark Popped Quinoa Bar 70% Cacao, 2.82 oz",2,24,2,8,28,150,8,organic
"Ingredients: Superior Organic Cacao Mass Organic Raw Cane Sugar, Organic Cacao Butter, Organic Cacao Powder, Organic Jungle Peanuts, Himalayan Pink Salt","Organic Dark Jungle Peanut Bar 70% Cacao, 2.82 oz",2,240,1,8,28,155,8,organic
"Ingredients: Superior Organic Cacao Mass Organic Raw Cane Sugar, Organic Cacao Butter., Organic Cacao Powder","Organic Perfection 70dark, 2.82 oz",2,24,2,8,28,152,8,organic
"Premium Organic Cacao Mass, Organic Raw Cane Sugar, Organic Cacao Butter, Organic Cocoa Powder, Organic Strawberries","Organic Dark Strawbry Mermaid 67% Cacao`, 2.82 oz",2,240,1,8,28,155,8,organic
"Ingredients: Premium Organic Cacao Mass, Organic Raw Cane Sugar, Organic Coconut, Organic Pineapple, Organic Cacao Butter, Organic Cacao Powder","Organic Dark Surfer Girl Bar 56%, 2.82 oz",1,24,1,12,28,160,8,organic
"Ingredients: Organic Premium Cacao, Organic Raw Cane Sugar, Organic Cacao Butter, Organic Whole Milk Powder","Organic Velvet 51deep, 2.82 oz",2,10,1,12,28,159,8,organic
"Organic Raw Cane Sugar, Premium Organic Cacao Butter, Organic Rice Powder, Organic Cacao Mass Organic Cacao Nibs","Organic Plant Based Milk Chocolate, 2.82 oz",2,10,1,12,28,160,8,organic
"Ingredients: *+Dark and *White Chocolate (*+Chocolate Liquor, *+Sugar, *+Cocoa Butter, *+Vanilla, *Milk Powder, Soybean Lecithin (Non-GMO), and *+Vanilla Extract), *Heavy Cream, *Rice Syrup, *Coconut, and Natural Coconut Flavor","Organic Coconut Chocolate Bar, 3.25 oz",2,5,2,13,35,180,8,organic
"Organic Cane Sugar, Organic Brown Rice Syrup, Organic Fruit and Organic Vegetable Juice Concentrate For Color (Red Radish, Apple, Black Currant), Natural Flavor","Organic Mini Candy Canes, 21.2 oz",0,0,0,14,18,70,0,organic
"Ingredients: Organic Cane Sugar, Organic Manuka Honey, Organic Brown Rice Syrup, Lemon Oil, Eucalyptus Oil (Flavor), and Propolis","Organic Manuka Honey Drops Lemon, 4 oz",0,0,11,14,18,70,0,organic
"Ingredients: Organic Cane Sugar, Organic Manuka Honey, Organic Brown Rice Syrup, Echinacea","Organic Manuka Honey Drops Honey, 4 oz",0,0,11,14,18,70,0,organic
Ingredients Organic Almonds Organic Cacao Organic Jerusalem Artichoke Fiber Organic Cacao Butter Organic Monk Fruit Extract Organic MCT Oil,"Almond Flavored Keto Cups 2 Count, 1.4 oz",3,0,5,1,20,130,3,organic
"Ingredients: Organic Cane Sugar, Organic Manuka Honey, Organic Brown Rice Syrup, Ground Ginger, Echinacea","Organic Manuka Honey Drops Ginger, 4 oz",0,0,11,1,20,130,3,organic
"Ingredients: Organic Cashews, Organic Palm Kernel Oil, Organic Rice Starch, Organic Cane Sugar, Organic Maple Syrup, Organic Cashew Butter, Sea Salt, Organic Sunflower Lecithin, Organic Cocoa","Organic Maple Cashew Butter Covered Cashews, 3 oz",2,70,0,5,28,180,7,organic
